,source,postcode,house_is,property_subtype,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,region,building_state_agg,facades_number,price
1975,6,1150,HOUSE,EXCEPTIONAL_PROPERTY,6.0,5.69035945432406,True,False,False,True,3.2188758248682006,True,5.521460917862246,6.317164686747284,False,B,good,4.0,950000.0
1976,6,1180,HOUSE,VILLA,4.0,5.8805329864007,True,False,False,True,4.382026634673881,True,7.047517221357296,7.030857476116121,False,B,renovated,4.0,1395000.0
1977,6,1950,HOUSE,EXCEPTIONAL_PROPERTY,4.0,6.263398262591624,True,False,False,True,4.442651256490317,True,6.907755278982137,7.492760300922379,False,F,to_renovate,4.0,1595000.0
1978,6,8300,HOUSE,VILLA,4.0,5.963579343618446,True,False,False,True,0.0,True,6.489204931325317,6.489204931325317,True,F,good,4.0,2200000.0
1979,6,1640,HOUSE,VILLA,5.0,6.173786103901937,True,False,False,True,4.382026634673881,False,0.0,8.420462002456466,False,F,good,4.0,2750000.0
1980,6,8870,HOUSE,HOUSE,4.0,5.8377304471659395,False,False,False,False,0.0,False,0.0,5.017279836814924,False,F,to_renovate,3.0,279000.0
1981,6,9700,HOUSE,HOUSE,3.0,5.14166355650266,True,False,False,False,0.0,False,0.0,6.144185634125646,False,F,renovated,3.0,299000.0
1982,6,9999,HOUSE,VILLA,6.0,5.8998973535824915,True,False,False,False,0.0,False,0.0,6.84587987526405,False,W,to_renovate,4.0,355000.0
1983,6,9999,HOUSE,HOUSE,3.0,5.0106352940962555,True,False,True,True,4.31748811353631,True,5.703782474656201,6.163314804034641,False,F,good,3.0,395000.0
1984,6,9999,HOUSE,VILLA,6.0,5.886104031450156,False,False,True,True,4.382026634673881,True,7.02108396428914,7.29641326877392,False,F,renovated,4.0,465000.0
1985,6,9999,HOUSE,HOUSE,4.0,5.298317366548036,True,False,False,True,0.0,False,0.0,4.990432586778736,False,W,renovated,3.0,169000.0
1986,6,9999,HOUSE,BUNGALOW,2.0,5.135798437050262,True,False,False,True,0.0,False,0.0,7.373374309910049,False,F,good,0.0,360000.0
1987,6,1390,HOUSE,VILLA,4.0,5.552959584921617,True,False,False,True,0.0,True,8.006367567650246,8.068402958569699,False,W,to_renovate,4.0,479000.0
1988,6,9999,HOUSE,HOUSE,2.0,4.787491742782046,True,False,False,True,2.995732273553991,False,0.0,5.717027701406222,False,F,to_renovate,3.0,249500.0
